source,material,material_id,space_group_symbol,n_points,peak_idx,dip_idx,right_idx,peak_cell_length,dip_cell_length,right_cell_length,E_peak,E_min,E_right,E_expected_dip,delta_E,raw_drop,baseline_slope,baseline_intercept,method
CoO_22408_POSCAR,CoO,mp-22408,F-43m,35,7,10,17,3.05263871,3.468907625,4.44020176,-0.019706521392518,-0.042807886449518,-0.017582425360129,-0.0190692925828013,-0.023738593866716704,0.023101365057000004,0.0015308104611094972,-0.0243795326637738,local_peak_dip_recovery
FeO_1274279_POSCAR,FeO,mp-1274279,C2/m,35,4,10,16,2.0678156,2.72081,3.3738044,-0.048257062610244,-0.091037526092174,-0.045169459913776,-0.046713261262009996,-0.044324264830164,0.04278046348193,0.002364187729992781,-0.053145766879651654,local_peak_dip_recovery
IrO2_2723_POSCAR,IrO2,mp-2723,P4_2/mnm,35,11,12,13,4.129718112,4.288553424,4.447388736,-0.031021818514813,-0.033895086902987,-0.029725248719457,-0.030373533617135,-0.003521553285852002,0.0028732683881740016,0.004081491007981907,-0.04787722585444102,local_peak_dip_recovery
LaMnO3_17554_POSCAR,LaMnO3,mp-17554,Pnma,35,10,14,21,7.3392875,8.5135735,10.568574,-0.090292315782825,-0.22217590219863,-0.088229963620993,-0.08954236954215881,-0.1326335326564712,0.131883586415805,0.0006386401955453615,-0.09497947978698862,local_peak_dip_recovery
NiO_19009_POSCAR,NiO,mp-19009,Fm-3m,35,8,10,18,2.948138367,3.204498225,4.229937657,-0.012873552110004,-0.031085805072792,-0.012799001447523,-0.012858641977507801,-0.0182271630952842,0.018212252962788,5.8160948490617616e-05,-0.013045018633710301,local_peak_dip_recovery
RuO2_825_POSCAR,RuO2,mp-825,P4_2/mnm,35,6,7,9,3.26690847,3.42247554,3.73360968,-0.03893700814708,-0.047042866803131,-0.037300836804645,-0.038391617699601664,-0.008651249103529338,0.008105858656050999,0.0035058219421265353,-0.05039020754412503,local_peak_dip_recovery
SrTiO3_4651_POSCAR,SrTiO3,mp-4651,I4/mcm,35,12,15,23,6.4566587295,7.174065255,9.087149323,-0.03880446174218,-0.10051224072847,-0.038638317944508,-0.038759149797360365,-0.06175309093110963,0.06170777898628999,6.3160764795187e-05,-0.03921226924555674,local_peak_dip_recovery
TiO2_390_POSCAR,TiO2,mp-390,I4_1/amd,35,13,14,24,4.966802834,5.1441886495,6.9180468045,-0.013443759476531,-0.033191634608617,-0.012650357108502,-0.013371631988528363,-0.019820002620088636,0.019747875132086,0.00040661361676146173,-0.015463329140604817,local_peak_dip_recovery
